  targetid   TeOIII   TeOIII_u   TeOIII_l   neSII   neSII_u   neSII_l   O+/H+   O+/H+_u   O+/H+_l   O2+/H+   O2+/H+_u   O2+/H+_l   12+logOH   12+logOH_u   12+logOH_l  
     40081    12900        600        600     226       103        91    2.55       0.4      0.31     9.62       1.39       1.13       8.09         0.06         0.05  
     41292    17300       1800       1800     135       623       111    0.94      0.38      0.23     4.12       1.24       0.81       7.71         0.12          0.1  
     45177    12900        600        600     479       374       243     2.9      1.06      0.64    11.23       3.97       2.28       8.15         0.13          0.1  
     45393    13400       1600       1700     -99       -99       -99    3.25      2.15      1.01     6.69        3.2        1.7        8.0         0.18         0.14  
     47557    13500       1800       2000      90       433        69    2.11      1.41      0.64     8.99       5.52        2.5       8.05         0.21         0.14  
     52422    20200       1800       1600     -99       -99       -99    0.28      0.12      0.06     2.81       0.54       0.44       7.49         0.08         0.08  
     57498    15000        700        700     -99       -99       -99     1.7      0.69      0.27      7.1       0.98       0.72       7.95         0.06         0.05  
     59009    13500       1800       2000     -99       -99       -99    1.73      0.72      0.35      9.2       1.67       1.32       8.04         0.08         0.07  
     60713    22400       3800       3500     -99       -99       -99     0.5      0.34      0.17     2.81        1.2       0.67       7.52         0.16         0.12  
     66899    18400       3800       3400     -99       -99       -99    0.31      0.28      0.13     3.27       2.07       1.04       7.55         0.22         0.17  
     70864    13800       1000       1000     -99       -99       -99    1.23      0.71      0.34     9.98       2.21       1.69       8.05         0.09         0.08  
     83628    20500       3100       2700     -99       -99       -99    0.31      0.19       0.1      2.8       0.97       0.68        7.5         0.13         0.12  
     93897    15100        900        900     -99       -99       -99     1.5      0.62      0.29     6.99       1.24       0.96       7.93         0.08         0.07  
     94335    10200        900       1000     424       191       135    7.09      2.83      1.75    16.46       7.65       4.16       8.37         0.16         0.12  
     95839    14100        600        600     -99       -99       -99    1.57      0.63      0.25     9.23       1.22        1.0       8.04         0.06         0.05  
    104937    13300       2000       2200      38        91        23    4.15      3.02      1.38     7.94       5.49       2.48       8.08         0.23         0.17  
    119504    16300       2000       2100     -99       -99       -99    0.74       0.5      0.24     6.91       2.91       1.66       7.89         0.15         0.12  
    121806    16600       1400       1300     275      2427       247     0.8      0.34      0.19     5.65       1.27       0.95       7.81         0.09         0.08  
    123837    17700       1800       1800     -99       -99       -99    1.01      0.54      0.26     3.67       1.06       0.69       7.68         0.11          0.1  
