  kmos_id   vandels_id   zspec   log_mass   logZg/Zsun   logZg/Zsun_u   logZg/Zsun_l   logZ*/Zsun   logZ*/Zsun_u   logZ*/Zsun_l  
  KVS-006         2584   3.367       9.84        -99.0          -99.0          --99.         -0.3           0.07          -0.05  
  KVS-009       237255   3.472        9.6        -99.0          -99.0          --99.        -99.0          -99.0          --99.  
  KVS-014         1280   3.082       9.68        -99.0          -99.0          --99.        -99.0          -99.0          --99.  
  KVS-055       105702   3.085      10.26        -0.06           0.05          -0.06        -0.67           0.06          -0.06  
  KVS-067       235637   3.082       8.97        -0.18           0.07          -0.08        -99.0          -99.0          --99.  
  KVS-070        27049    3.25       9.04        -99.0          -99.0          --99.        -99.0          -99.0          --99.  
  KVS-075        12786   3.348       9.36        -0.31           0.08          -0.08        -99.0          -99.0          --99.  
  KVS-082       230755   3.185        8.9        -0.23           0.08          -0.08        -99.0          -99.0          --99.  
  KVS-085       101998   3.193       9.83        -0.32           0.07          -0.09        -0.93           0.09          -0.07  
  KVS-087         5891   3.081       9.35        -99.0          -99.0          --99.        -0.64           0.06          -0.06  
  KVS-093        16368   3.423       9.34        -99.0          -99.0          --99.        -99.0          -99.0          --99.  
  KVS-100         3496   3.031       9.35        -0.47           0.08          -0.08        -99.0          -99.0          --99.  
  KVS-101        27379   3.591       9.54        -99.0          -99.0          --99.        -99.0          -99.0          --99.  
  KVS-131        14729   3.607      10.03        -0.46           0.08          -0.09        -99.0          -99.0          --99.  
  KVS-141         2312    3.47       9.63        -0.31           0.09          -0.09        -99.0          -99.0          --99.  
  KVS-150       103010   3.462       9.57        -0.39           0.08          -0.09        -99.0          -99.0          --99.  
  KVS-156        19593   3.426       9.58        -99.0          -99.0          --99.        -0.71           0.08          -0.08  
  KVS-202       130840   3.182      10.26        -0.01           0.05          -0.06        -99.0          -99.0          --99.  
  KVS-204       132586   3.472       9.17        -0.42           0.09          -0.10        -0.61           0.06          -0.06  
  KVS-208       228618   3.188       9.51        -0.37           0.07          -0.08        -0.98           0.03          -0.03  
  KVS-215       207213   3.386        9.2        -99.0          -99.0          --99.        -99.0          -99.0          --99.  
  KVS-220       232419   3.424      10.44        -99.0          -99.0          --99.        -99.0          -99.0          --99.  
  KVS-227        17345   3.611        9.1        -0.43           0.07          -0.08        -1.06           0.04          -0.04  
  KVS-248       231194   3.078       9.53        -0.25           0.06          -0.06        -0.61           0.07          -0.06  
  KVS-266       208053   3.089       8.97        -99.0          -99.0          --99.        -99.0          -99.0          --99.  
  KVS-298       106745   3.465       9.46        -0.41           0.08          -0.09        -99.0          -99.0          --99.  
  KVS-312       101861   3.239       9.53        -0.41           0.08          -0.08        -0.83           0.04          -0.03  
  KVS-340       232407   3.411       9.27        -0.42           0.07          -0.08        -99.0          -99.0          --99.  
  KVS-361        18915   3.605       9.98        -0.31           0.08          -0.09        -99.0          -99.0          --99.  
  KVS-391       131717   3.071       9.68        -0.23           0.06          -0.06        -0.94           0.04          -0.05  
  KVS-414         4151   3.651       9.11        -0.52           0.12          -0.13        -99.0          -99.0          --99.  
  KVS-423       234108   3.341       9.55         -0.5           0.07          -0.08        -99.0          -99.0          --99.  
