       id   S24_logZg/Zsun   S24_logZg/Zsun_u   S24_logZg/Zsun_l   C20_logZg/Zsun   C20_logZg/Zsun_u   C20_logZg/Zsun_l   v40_logZ*/Zsun   v40_logZ*/Zsun_u   v40_logZ*/Zsun_l  
  KVS-006            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-009            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-014            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-055             0.05               0.09              -0.09             0.05               0.09              -0.09             0.05               0.09              -0.09  
  KVS-067            -0.09               0.11              -0.13            -0.09               0.11              -0.13            -0.09               0.11              -0.13  
  KVS-070            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-075             -0.2               0.13              -0.14             -0.2               0.13              -0.14             -0.2               0.13              -0.14  
  KVS-082            -0.14               0.11              -0.12            -0.14               0.11              -0.12            -0.14               0.11              -0.12  
  KVS-085            -0.27               0.11              -0.12            -0.27               0.11              -0.12            -0.27               0.11              -0.12  
  KVS-087            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-093            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-100            -0.43               0.13              -0.15            -0.43               0.13              -0.15            -0.43               0.13              -0.15  
  KVS-101            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-131            -0.39               0.12              -0.11            -0.39               0.12              -0.11            -0.39               0.12              -0.11  
  KVS-141            -0.16               0.12              -0.15            -0.16               0.12              -0.15            -0.16               0.12              -0.15  
  KVS-150            -0.35               0.11              -0.12            -0.35               0.11              -0.12            -0.35               0.11              -0.12  
  KVS-156            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-202             0.24               0.04              -0.06             0.24               0.04              -0.06             0.24               0.04              -0.06  
  KVS-204             -0.4               0.11              -0.12             -0.4               0.11              -0.12             -0.4               0.11              -0.12  
  KVS-208            -0.32                0.1              -0.11            -0.32                0.1              -0.11            -0.32                0.1              -0.11  
  KVS-215            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-220            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-227             -0.4               0.11              -0.12             -0.4               0.11              -0.12             -0.4               0.11              -0.12  
  KVS-248            -0.18               0.09              -0.09            -0.18               0.09              -0.09            -0.18               0.09              -0.09  
  KVS-266            -99.0              -99.0               --99            -99.0              -99.0               --99            -99.0              -99.0               --99  
  KVS-298            -0.31               0.12              -0.14            -0.31               0.12              -0.14            -0.31               0.12              -0.14  
  KVS-312            -0.42                0.1              -0.09            -0.42                0.1              -0.09            -0.42                0.1              -0.09  
  KVS-340            -0.38                0.1              -0.12            -0.38                0.1              -0.12            -0.38                0.1              -0.12  
  KVS-361            -0.23               0.11              -0.14            -0.23               0.11              -0.14            -0.23               0.11              -0.14  
  KVS-391            -0.16               0.08              -0.09            -0.16               0.08              -0.09            -0.16               0.08              -0.09  
  KVS-414             -0.5               0.25              -0.26             -0.5               0.25              -0.26             -0.5               0.25              -0.26  
  KVS-423            -0.45               0.11              -0.11            -0.45               0.11              -0.11            -0.45               0.11              -0.11  
    Low-M            -0.41               0.08              -0.08            -0.41               0.08              -0.08            -0.41               0.08              -0.08  
   High-M            -0.28               0.06              -0.06            -0.28               0.06              -0.06            -0.28               0.06              -0.06  
